Q1_Age,Q2_Gender,Q3_Residential_Status,Q4_Emirate,Q5_Employment_Status,Q6_Monthly_Income_AED,Q7_Education_Level,Q8_Marital_Status,Q9_Household_Size,Q10_Have_Children,Q11_Play_Video_Games,Q12_Gaming_Platforms,Q13_Game_Types_Preferred,Q14_Gaming_Frequency,Q15_Hours_Per_Week,Q16_Primary_Gaming_Location,Q17_Gaming_Cafe_Visits_Past_12mo,Q18_Typical_Spend_Per_Visit_AED,Q19_Gaming_Companions,Q20_Gaming_Motivations,Q21_Social_Aspect_Importance,Q22_Leisure_Activity_Frequency,Q23_Leisure_Venues_Visited,Q24_Preferred_Visit_Time,Q25_Preferred_Visit_Duration,Q26_Food_Quality_Importance,Q27_Food_Service_Preference,Q28_Italian_Food_Preferences,Q29_Chinese_Food_Preferences,Q30_Beverage_Preferences,Q31_Snack_Preferences,Q32_FB_Spending_Per_Session_AED,Q33_Pricing_Model_Preference,Q34_WTP_Standard_Setup_AED_Per_Hour,Q35_WTP_Premium_Setup_AED_Per_Hour,Q36_Monthly_Membership_WTP_AED,Q37_Total_WTP_Per_Visit_AED,Q38_Price_Sensitivity,Q39_WTP_Premium_For_Fusion,Q40_Feature_Importance_Top5,Q41_Private_Room_Interest,Q42_Special_Services_Interest,Q43_Loyalty_Program_Interest,Q44_Location_Factors_Top3,Q45_Interest_In_Concept,Q46_Primary_Reason_For_Interest,Q47_Expected_Visit_Frequency,Q48_Would_Recommend,Q49_Biggest_Attraction,Q50_Concerns_Hesitations,Q51_Competitive_Advantage,Q52_Additional_Suggestions
55 and above,Male,Expat (Working Professional),Abu Dhabi,Full-time employed,"Above 50,000",Master's degree,Divorced/Separated,1 (Live alone),No,"No, but I'm interested in starting",Tablet gaming; Mobile gaming,"Retro/Classic arcade games; Fighting games (Street Fighter, Mortal Kombat, Tekken)",Once a month or less,Less than 2 hours,At home,Never,Haven't visited,Organized teams/Clans; Romantic partner,None,Very important,Once a week,Board game cafes; Shisha cafes; Libraries/Co-working spaces,Evening (5 PM - 9 PM),2-3 hours,Very important,Mix of quick bites and proper meals,"Gelato; Pasta Bolognese; Lasagna; Garlic Bread; Meat Lovers Pizza; Margherita Pizza; Italian Coffee (Espresso, Cappuccino)",Noodle Soup; Chow Mein; Stir-fried Vegetables; Hot and Sour Soup,"Coffee (Hot/Iced); Smoothies; Specialty coffee drinks (Frappuccino, Latte); Bubble tea",Pretzels; Burgers/Sliders; Candy/Chocolate; French fries,Above 150 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",46-55 AED,91-110 AED,Not interested in membership,301-400 AED,Neutral - I balance price with experience quality,Maybe/Depends on quality,Fast and stable internet connection; Streaming/Content creation facilities; Strategic location and accessibility; Affordable pricing; Private gaming rooms/VIP areas,"Maybe, depends on pricing","Tournament participation (cash prizes, trophies); Streaming setup for content creators; Ladies-only sessions",Not at all likely,Close to my home/workplace; In a mall or entertainment complex; Ample parking availability,Very interested - I would likely visit frequently,Love the social-first approach,Once a week,Definitely yes,Combination of everything,Location might not be convenient; Concerns about cleanliness/hygiene,More comfortable and clean environment,Comfortable seating is a must
18-24,Male,UAE National,Abu Dhabi,Full-time employed,Prefer not to say,Bachelor's degree,Single,1 (Live alone),No,"Yes, occasionally (few times a month)",Nintendo Switch; Tablet gaming,"Sports games (FIFA, NBA 2K, F1); Retro/Classic arcade games; Simulation games (The Sims, Cities Skylines)",2-3 times per week,6-10 hours,At home,Never,Haven't visited,Family members; Romantic partner,Escapism/Immersion; Social interaction; Skill improvement,Very important,Once a week,Board game cafes; Malls/Shopping centers; Restaurants,Late night (9 PM - 2 AM),3-4 hours,Moderately important,Mix of quick bites and proper meals,"Pasta Carbonara; Pasta Bolognese; Gelato; Lasagna; Italian Coffee (Espresso, Cappuccino)",Wontons; Hot and Sour Soup; Noodle Soup; Dim Sum; Spring Rolls,"Specialty coffee drinks (Frappuccino, Latte); Sports drinks (Gatorade, Powerade)",Chicken wings/tenders; Pretzels; Sandwiches/Wraps; French fries; Fresh fruit,26-50 AED,Monthly membership (unlimited access),15-25 AED,46-60 AED,Not interested in membership,50-100 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,"Variety of gaming platforms (PC, PS5, Xbox, Switch); Fast and stable internet connection; Comfortable seating and ergonomic setup; Clean and well-maintained environment; High-end gaming hardware (latest GPUs, processors)","Maybe, depends on pricing",Retro arcade section; Kids gaming hours,Not at all likely,Near public transportation; Surrounded by other F&B options; Ample parking availability,Very interested - I would likely visit frequently,Location and convenience matter most,2-3 times per month,Probably yes,Quality food and dining experience,Concerns about cleanliness/hygiene; Location might not be convenient; Might be too crowded/noisy,Strong community and events,None
25-34,Female,Expat (Working Professional),Dubai,Full-time employed,"35,001 - 50,000",Bachelor's degree,Prefer not to say,1 (Live alone),No,"Yes, regularly (at least once a week)",PC/Laptop; PlayStation (PS4/PS5); Xbox (One/Series X/S),"Casual/Party games (Mario Kart, Fall Guys, Among Us); Sports games (FIFA, NBA 2K, F1); Simulation games (The Sims, Cities Skylines); First-person shooters (Call of Duty, Valorant, CS:GO); Board games (physical or digital)",4-6 times per week,6-10 hours,At home,Never,Haven't visited,Strangers/Online community; Family members; Romantic partner,Achievement/Progression; Social interaction; Skill improvement,Very important,Multiple times per week,Malls/Shopping centers; Restaurants; Libraries/Co-working spaces; Gaming cafes/lounges; Cinemas,Afternoon (12 PM - 5 PM); Evening (5 PM - 9 PM),4+ hours,Moderately important,Mix of quick bites and proper meals,Lasagna; Garlic Bread; Panna Cotta,Chow Mein; Hakka Noodles; Spring Rolls; Manchurian (Chicken/Vegetable); Kung Pao Chicken,"Tea (Regular/Specialty); Water; Specialty coffee drinks (Frappuccino, Latte); Smoothies; Fresh juices; Milkshakes; Energy drinks (Red Bull, Monster)",Cookies/Brownies; Nachos with dips; Pretzels; Chips/Crisps,101-150 AED,"Pay per hour (e.g., 30-50 AED/hour)",46-55 AED,61-75 AED,901-1200 AED,301-400 AED,Neutral - I balance price with experience quality,Probably yes,"Knowledgeable and helpful staff; Strategic location and accessibility; Fast and stable internet connection; Private gaming rooms/VIP areas; High-end gaming hardware (latest GPUs, processors)","Yes, occasionally for special occasions","Streaming setup for content creators; Esports coaching/Training sessions; Corporate team-building events; Tournament participation (cash prizes, trophies); VR gaming experiences",Somewhat likely,Close to my home/workplace; Ample parking availability; Near public transportation,Very interested - I would likely visit frequently,Finally a gaming cafe that's not just for hardcore gamers,2-3 times per month,Definitely yes,High-end gaming equipment,Pricing might be too high; Might be too crowded/noisy,Better pricing and value,More vegetarian food options
45-54,Male,Expat (Working Professional),Abu Dhabi,Full-time employed,"20,001 - 35,000",Diploma/Certificate,Married,5-6,No,"Yes, occasionally (few times a month)",Mobile gaming,"Battle Royale (Fortnite, PUBG, Apex Legends); VR games; First-person shooters (Call of Duty, Valorant, CS:GO); Board games (physical or digital)",2-3 times per month,Less than 2 hours,Multiple locations,2-5 times,151-200,Friends (in-person); Family members,Escapism/Immersion; Stress relief/Relaxation; Skill improvement,Very important,2-3 times per month,"Sports/Fitness centers; Malls/Shopping centers; Regular cafes (Starbucks, Costa, local cafes); Gaming cafes/lounges",Morning (8 AM - 12 PM); Weekends any time,1-2 hours,Moderately important,Quick-service counter with delivery to gaming stations,"Garlic Bread; Panna Cotta; Bruschetta; Italian Coffee (Espresso, Cappuccino); Pepperoni Pizza",Orange Chicken; Kung Pao Chicken; Szechuan dishes (Spicy); Spring Rolls; Stir-fried Vegetables,"Sports drinks (Gatorade, Powerade); Water; Specialty coffee drinks (Frappuccino, Latte); Milkshakes",Popcorn; Chips/Crisps,76-100 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",36-45 AED,61-75 AED,Less than 300 AED,101-150 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,"Variety of gaming platforms (PC, PS5, Xbox, Switch); Fast and stable internet connection; Quality food and beverage options; Extended operating hours (24/7 or late night); High-end gaming hardware (latest GPUs, processors)","Yes, occasionally for special occasions",Retro arcade section; Gaming leagues and ladders; Corporate team-building events,Somewhat likely,Near public transportation; In a mall or entertainment complex; Close to my home/workplace,Very interested - I would likely visit frequently,Combination of high-end gaming and quality food is unique,Once a week,Probably yes,Pricing and value,Concerns about cleanliness/hygiene,Unique atmosphere,Good parking availability needed
25-34,Female,Expat (Working Professional),Dubai,Full-time employed,"20,001 - 35,000",Bachelor's degree,Married,2,No,"Yes, regularly (at least once a week)",Nintendo Switch; Tablet gaming; PC/Laptop; Mobile gaming,"Strategy games (League of Legends, Dota 2, StarCraft); Sports games (FIFA, NBA 2K, F1); Racing games (Gran Turismo, Forza); Battle Royale (Fortnite, PUBG, Apex Legends)",Daily,More than 20 hours,At home,Never,Haven't visited,Friends (online); Alone; Family members; Strangers/Online community,Entertainment/Fun; Skill improvement; Social interaction,Very important,2-3 times per month,Sports/Fitness centers; Malls/Shopping centers,Weekends any time; Evening (5 PM - 9 PM),3-4 hours,Moderately important,Mix of quick bites and proper meals,Tiramisu; Meat Lovers Pizza; Pasta Arrabiata; Garlic Bread,General Tso's Chicken; Dumplings/Momos (Steamed/Fried); Noodle Soup,"Water; Soft drinks (Coca-Cola, Pepsi, Sprite); Fresh juices; Energy drinks (Red Bull, Monster)",Nuts/Trail mix; Popcorn; Nachos with dips; Pretzels; Cookies/Brownies; Fresh fruit,26-50 AED,"Pay per hour (e.g., 30-50 AED/hour)",26-35 AED,46-60 AED,901-1200 AED,151-200 AED,Neutral - I balance price with experience quality,Definitely yes,"Tournament hosting and events; Variety of gaming platforms (PC, PS5, Xbox, Switch); Fast and stable internet connection; Quality food and beverage options; High-end gaming hardware (latest GPUs, processors)","Yes, occasionally for special occasions","VR gaming experiences; Streaming setup for content creators; Esports coaching/Training sessions; Gaming leagues and ladders; Retro arcade section; Tournament participation (cash prizes, trophies)",Not at all likely,Ample parking availability; Safe neighborhood; Surrounded by other F&B options,Extremely interested - I would definitely visit regularly,Premium equipment is exactly what I'm looking for,Once a week,Definitely yes,Combination of everything,Pricing might be too high,Unique atmosphere,None
25-34,Female,Expat (Working Professional),Dubai,Full-time employed,"20,001 - 35,000",Master's degree,Single,3-4,No,"Yes, occasionally (few times a month)",Xbox (One/Series X/S),"Retro/Classic arcade games; Sports games (FIFA, NBA 2K, F1); First-person shooters (Call of Duty, Valorant, CS:GO); Racing games (Gran Turismo, Forza)",Once a week,Less than 2 hours,At a friend's place,2-5 times,101-150,Romantic partner; Organized teams/Clans,Stress relief/Relaxation; Entertainment/Fun; Escapism/Immersion,Slightly important,2-3 times per month,Board game cafes; Restaurants; Shisha cafes; Sports/Fitness centers,Late night (9 PM - 2 AM); Afternoon (12 PM - 5 PM),2-3 hours,Very important,Mix of quick bites and proper meals,Tiramisu; Margherita Pizza; Meat Lovers Pizza; Risotto; Garlic Bread,Kung Pao Chicken; Hot and Sour Soup; Stir-fried Vegetables; Orange Chicken; Manchurian (Chicken/Vegetable); Spring Rolls; Noodle Soup,"Smoothies; Energy drinks (Red Bull, Monster); Bubble tea; Soft drinks (Coca-Cola, Pepsi, Sprite)",Nachos with dips; Popcorn; Chicken wings/tenders,101-150 AED,Monthly membership (unlimited access),26-35 AED,46-60 AED,Not interested in membership,151-200 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,"Variety of gaming platforms (PC, PS5, Xbox, Switch); Strategic location and accessibility; Quality food and beverage options; Private gaming rooms/VIP areas; Fast and stable internet connection","Yes, occasionally for special occasions","Tournament participation (cash prizes, trophies); Esports coaching/Training sessions",Very likely,Close to my home/workplace; Near public transportation; Ample parking availability,Moderately interested - I would try it out and visit occasionally,Location needs to be convenient,2-3 times per month,Maybe,Quality food and dining experience,Might be too crowded/noisy; Concerns about cleanliness/hygiene,All-in-one entertainment destination,Partner with gaming brands
25-34,Male,Expat (Dependent),Dubai,Unemployed,"5,000 - 10,000",High school or below,Single,1 (Live alone),No,"Yes, occasionally (few times a month)",Mobile gaming; PlayStation (PS4/PS5); Xbox (One/Series X/S),"Simulation games (The Sims, Cities Skylines); Casual/Party games (Mario Kart, Fall Guys, Among Us); Fighting games (Street Fighter, Mortal Kombat, Tekken); First-person shooters (Call of Duty, Valorant, CS:GO)",2-3 times per month,Less than 2 hours,At home,Never,Haven't visited,Romantic partner; Organized teams/Clans; Strangers/Online community,Skill improvement; Achievement/Progression; Competition and winning,Very important,Once a week,Shisha cafes; Malls/Shopping centers; Restaurants; Gaming cafes/lounges,Weekends any time; Evening (5 PM - 9 PM),2-3 hours,Not important - I'm only there for gaming,"No food needed, just beverages",None of the above,Fried Rice (Chicken/Beef/Vegetable/Shrimp); Manchurian (Chicken/Vegetable),"Fresh juices; Milkshakes; Sports drinks (Gatorade, Powerade); Water",Sandwiches/Wraps; Candy/Chocolate; Nuts/Trail mix; French fries,Nothing - I don't eat/drink while gaming,Monthly membership (unlimited access),26-35 AED,30-45 AED,300-500 AED,101-150 AED,Neutral - I balance price with experience quality,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Social atmosphere and community; Private gaming rooms/VIP areas; Extended operating hours (24/7 or late night); Streaming/Content creation facilities","Maybe, depends on pricing",Corporate team-building events; Ladies-only sessions,Not very likely,In a mall or entertainment complex; Safe neighborhood; Surrounded by other F&B options,Moderately interested - I would try it out and visit occasionally,The multi-generational concept appeals to me,2-3 times per month,Maybe,Combination of everything,Concerns about cleanliness/hygiene,Better pricing and value,None
25-34,Male,Expat (Working Professional),Dubai,Full-time employed,"20,001 - 35,000",Master's degree,Married with children,3-4,"Yes, 12-18 years old","Yes, occasionally (few times a month)",Nintendo Switch; Tablet gaming; PC/Laptop,Board games (physical or digital); VR games; Retro/Classic arcade games,2-3 times per week,11-15 hours,Multiple locations,More than 10 times,51-100,Friends (in-person); Alone,Entertainment/Fun; Achievement/Progression; Social interaction,Very important,Once a week,"Restaurants; Libraries/Co-working spaces; Cinemas; Regular cafes (Starbucks, Costa, local cafes)",Afternoon (12 PM - 5 PM),1-2 hours,Very important,Mix of quick bites and proper meals,"Lasagna; Pasta Carbonara; Gelato; Margherita Pizza; Risotto; Italian Coffee (Espresso, Cappuccino)",Hakka Noodles; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Noodle Soup; Spring Rolls; Manchurian (Chicken/Vegetable),Milkshakes; Tea (Regular/Specialty); Bubble tea,Candy/Chocolate; Cookies/Brownies; Burgers/Sliders,76-100 AED,"Pay per hour (e.g., 30-50 AED/hour)",26-35 AED,46-60 AED,501-700 AED,201-300 AED,Not very price sensitive - I prioritize quality and experience,Definitely yes,"Variety of gaming platforms (PC, PS5, Xbox, Switch); Social atmosphere and community; Quality food and beverage options; Tournament hosting and events; Comfortable seating and ergonomic setup","Yes, occasionally for special occasions",Birthday party packages; Ladies-only sessions,Extremely likely,Close to my home/workplace; In a mall or entertainment complex; Near public transportation,Very interested - I would likely visit frequently,Pricing flexibility is attractive,2-3 times per month,Definitely yes,Combination of everything,Concerns about cleanliness/hygiene; Food quality might not justify the price,Better than gaming at home because of social aspect,None
25-34,Female,Expat (Student),Dubai,Student,Prefer not to say,Bachelor's degree,Single,3-4,"Yes, above 18 years old","Yes, regularly (at least once a week)",PC/Laptop; Mobile gaming; PlayStation (PS4/PS5); Xbox (One/Series X/S),"Casual/Party games (Mario Kart, Fall Guys, Among Us); VR games; Retro/Classic arcade games; First-person shooters (Call of Duty, Valorant, CS:GO); Simulation games (The Sims, Cities Skylines)",4-6 times per week,6-10 hours,Gaming cafe/lounge,6-10 times,0-50,Organized teams/Clans; Family members; Friends (in-person); Romantic partner,Achievement/Progression; Story and narrative; Skill improvement,Very important,2-3 times per month,"Regular cafes (Starbucks, Costa, local cafes); Sports/Fitness centers",Morning (8 AM - 12 PM); Evening (5 PM - 9 PM); Late night (9 PM - 2 AM),3-4 hours,Not important - I'm only there for gaming,"No food needed, just beverages","Pepperoni Pizza; Pasta Bolognese; Garlic Bread; Italian Coffee (Espresso, Cappuccino); Gelato",None of the above,"Coffee (Hot/Iced); Bubble tea; Tea (Regular/Specialty); Smoothies; Fresh juices; Energy drinks (Red Bull, Monster)",Burgers/Sliders; Popcorn; Fresh fruit,1-25 AED,Package deals (gaming hours + F&B combo),15-25 AED,30-45 AED,501-700 AED,50-100 AED,Very price sensitive - I look for best deals and discounts,Maybe/Depends on quality,"Fast and stable internet connection; Strategic location and accessibility; Quality food and beverage options; High-end gaming hardware (latest GPUs, processors); Affordable pricing","Yes, definitely - I'd use this regularly","Retro arcade section; Tournament participation (cash prizes, trophies); VR gaming experiences; Streaming setup for content creators",Very likely,Ample parking availability; In a mall or entertainment complex; Surrounded by other F&B options,Very interested - I would likely visit frequently,Would be great for family outings,Once a week,Definitely yes,Social environment and community,Concerns about cleanliness/hygiene; Pricing might be too high,Better than gaming at home because of social aspect,Good parking availability needed
25-34,Female,UAE National,Dubai,Full-time employed,"35,001 - 50,000",Bachelor's degree,Married with children,3-4,"Yes, 12-18 years old","Yes, regularly (at least once a week)",PlayStation (PS4/PS5); Xbox (One/Series X/S); PC/Laptop,"Simulation games (The Sims, Cities Skylines); Retro/Classic arcade games; Strategy games (League of Legends, Dota 2, StarCraft); First-person shooters (Call of Duty, Valorant, CS:GO)",Daily,16-20 hours,At home,2-5 times,101-150,Friends (in-person); Organized teams/Clans; Strangers/Online community,Skill improvement; Social interaction; Escapism/Immersion,Extremely important - gaming is mainly social for me,Multiple times per week,Libraries/Co-working spaces; Restaurants; Board game cafes; Shisha cafes,Evening (5 PM - 9 PM); Afternoon (12 PM - 5 PM); Morning (8 AM - 12 PM),Half-day sessions,Moderately important,Mix of quick bites and proper meals,Caprese Salad; Gelato; Bruschetta; Lasagna; Tiramisu; Pepperoni Pizza; Garlic Bread,Manchurian (Chicken/Vegetable); Noodle Soup; Peking Duck; General Tso's Chicken; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Chow Mein,"Bubble tea; Sports drinks (Gatorade, Powerade); Milkshakes; Fresh juices; Soft drinks (Coca-Cola, Pepsi, Sprite)",Candy/Chocolate; Nuts/Trail mix; Chicken wings/tenders; French fries,51-75 AED,"Pay per hour (e.g., 30-50 AED/hour)",36-45 AED,76-90 AED,701-900 AED,201-300 AED,Somewhat price sensitive - I consider price but not the only factor,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Tournament hosting and events; Comfortable seating and ergonomic setup; Private gaming rooms/VIP areas; Extended operating hours (24/7 or late night)","Yes, definitely - I'd use this regularly","Retro arcade section; Ladies-only sessions; Corporate team-building events; Kids gaming hours; Tournament participation (cash prizes, trophies)",Very likely,Near public transportation; Safe neighborhood; In a mall or entertainment complex,Extremely interested - I would definitely visit regularly,Location and convenience matter most,Once a week,Probably yes,Combination of everything,Not enough variety in games,Better than gaming at home because of social aspect,Have ladies-only hours
45-54,Male,Expat (Student),Dubai,Part-time employed,"10,001 - 20,000",High school or below,Married with children,5-6,"Yes, 12-18 years old","Yes, occasionally (few times a month)",Mobile gaming; Nintendo Switch,"First-person shooters (Call of Duty, Valorant, CS:GO); Simulation games (The Sims, Cities Skylines); RPG/Adventure (Elden Ring, Zelda, Final Fantasy); VR games",Once a week,2-5 hours,Multiple locations,More than 10 times,0-50,Alone,Stress relief/Relaxation; Skill improvement; Competition and winning,Not important at all - I prefer solo gaming,Once a month,Sports/Fitness centers; Restaurants,Morning (8 AM - 12 PM); Evening (5 PM - 9 PM),1-2 hours,Very important,Mix of quick bites and proper meals,Pasta Alfredo; Panna Cotta; Caprese Salad; Lasagna; Pasta Bolognese; Tiramisu,Dumplings/Momos (Steamed/Fried); Stir-fried Vegetables; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Manchurian (Chicken/Vegetable); Wontons; Hot and Sour Soup; Szechuan dishes (Spicy),Fresh juices; Coffee (Hot/Iced),Cookies/Brownies; Pretzels; Chips/Crisps,51-75 AED,"All-day pass (e.g., 150 AED unlimited gaming)",26-35 AED,30-45 AED,300-500 AED,101-150 AED,Somewhat price sensitive - I consider price but not the only factor,Maybe/Depends on quality,"Knowledgeable and helpful staff; Extended operating hours (24/7 or late night); Affordable pricing; Private gaming rooms/VIP areas; Variety of gaming platforms (PC, PS5, Xbox, Switch)","Yes, definitely - I'd use this regularly",Retro arcade section; Gaming leagues and ladders; Ladies-only sessions,Extremely likely,In a mall or entertainment complex; Near public transportation; Close to my home/workplace,Moderately interested - I would try it out and visit occasionally,Not interested in gaming cafes generally,2-3 times per month,Maybe,Combination of everything,Might be too crowded/noisy,Better than gaming at home because of social aspect,None
Under 18,Female,Expat (Dependent),Other,Student,"5,000 - 10,000",High school or below,Single,3-4,No,"No, and not interested",None,None,Once a month or less,Less than 2 hours,At home,Once,51-100,None,None,Moderately important,2-3 times per month,"Cinemas; Shisha cafes; Regular cafes (Starbucks, Costa, local cafes); Sports/Fitness centers",Would not visit,2-3 hours,Moderately important,Quick-service counter with delivery to gaming stations,"Caprese Salad; Italian Coffee (Espresso, Cappuccino); Risotto",Hakka Noodles; Spring Rolls; Hot and Sour Soup,Water; Coffee (Hot/Iced),Sandwiches/Wraps; Nachos with dips; Burgers/Sliders; French fries; Candy/Chocolate,76-100 AED,Monthly membership (unlimited access),26-35 AED,61-75 AED,Less than 300 AED,101-150 AED,Very price sensitive - I look for best deals and discounts,Maybe/Depends on quality,Tournament hosting and events; Strategic location and accessibility; Knowledgeable and helpful staff; Clean and well-maintained environment; Social atmosphere and community,"Maybe, depends on pricing",None of these,Somewhat likely,Near public transportation; Close to my home/workplace; Safe neighborhood,Moderately interested - I would try it out and visit occasionally,Combination of high-end gaming and quality food is unique,2-3 times per month,Probably yes,High-end gaming equipment,Limited operating hours; Pricing might be too high,Strong community and events,None
18-24,Male,Expat (Working Professional),Dubai,Full-time employed,"10,001 - 20,000",Master's degree,Single,1 (Live alone),"Yes, above 18 years old","Yes, regularly (at least once a week)",PC/Laptop; PlayStation (PS4/PS5); Tablet gaming,"RPG/Adventure (Elden Ring, Zelda, Final Fantasy); First-person shooters (Call of Duty, Valorant, CS:GO); Simulation games (The Sims, Cities Skylines); Strategy games (League of Legends, Dota 2, StarCraft); Sports games (FIFA, NBA 2K, F1)",4-6 times per week,6-10 hours,Multiple locations,6-10 times,51-100,Family members; Alone; Organized teams/Clans,Stress relief/Relaxation; Skill improvement; Achievement/Progression,Extremely important - gaming is mainly social for me,Once a week,Sports/Fitness centers; Libraries/Co-working spaces; Restaurants; Board game cafes,Afternoon (12 PM - 5 PM); Evening (5 PM - 9 PM); Late night (9 PM - 2 AM),4+ hours,Slightly important,Quick-service counter with delivery to gaming stations,Lasagna; Pasta Bolognese; Meat Lovers Pizza; Garlic Bread; Gelato,Manchurian (Chicken/Vegetable); Noodle Soup; Wontons,"Soft drinks (Coca-Cola, Pepsi, Sprite); Tea (Regular/Specialty); Fresh juices",Popcorn; Chips/Crisps; Pretzels,51-75 AED,Monthly membership (unlimited access),26-35 AED,30-45 AED,300-500 AED,151-200 AED,Very price sensitive - I look for best deals and discounts,Probably not,"Variety of gaming platforms (PC, PS5, Xbox, Switch); High-end gaming hardware (latest GPUs, processors); Quality food and beverage options; Fast and stable internet connection; Extended operating hours (24/7 or late night)","Yes, occasionally for special occasions","Esports coaching/Training sessions; Gaming leagues and ladders; Streaming setup for content creators; Kids gaming hours; Tournament participation (cash prizes, trophies)",Very likely,Safe neighborhood; Ample parking availability; Near public transportation,Moderately interested - I would try it out and visit occasionally,Finally a gaming cafe that's not just for hardcore gamers,Once a month,Probably yes,High-end gaming equipment,Might be too crowded/noisy; Prefer gaming at home; Not enough variety in games,Better than gaming at home because of social aspect,None
45-54,Prefer not to say,Expat (Working Professional),Dubai,Self-employed/Entrepreneur,"10,001 - 20,000",Diploma/Certificate,Married,2,"Yes, under 12 years old","Yes, regularly (at least once a week)",Nintendo Switch; PC/Laptop,"Battle Royale (Fortnite, PUBG, Apex Legends); Retro/Classic arcade games; Simulation games (The Sims, Cities Skylines)",Daily,11-15 hours,Multiple locations,2-5 times,51-100,Friends (in-person); Strangers/Online community; Organized teams/Clans,Stress relief/Relaxation; Achievement/Progression; Escapism/Immersion,Very important,Once a week,Board game cafes; Shisha cafes; Restaurants; Malls/Shopping centers; Libraries/Co-working spaces,Late night (9 PM - 2 AM),Half-day sessions,Extremely important - food quality is a deciding factor,Full restaurant-style menu with table service,Margherita Pizza; Pasta Alfredo; Risotto; Vegetarian Pizza; Panna Cotta,Noodle Soup; Sweet and Sour Chicken; Szechuan dishes (Spicy); Hot and Sour Soup; Peking Duck; Hakka Noodles; Dim Sum,"Sports drinks (Gatorade, Powerade); Specialty coffee drinks (Frappuccino, Latte); Water; Energy drinks (Red Bull, Monster)",Chicken wings/tenders; Burgers/Sliders; Nachos with dips; Cookies/Brownies; Fresh fruit; Sandwiches/Wraps,51-75 AED,"Pay per hour (e.g., 30-50 AED/hour)",26-35 AED,30-45 AED,300-500 AED,151-200 AED,Somewhat price sensitive - I consider price but not the only factor,Definitely not,"High-end gaming hardware (latest GPUs, processors); Private gaming rooms/VIP areas; Quality food and beverage options; Affordable pricing; Strategic location and accessibility","Yes, occasionally for special occasions","Gaming leagues and ladders; Retro arcade section; Streaming setup for content creators; Esports coaching/Training sessions; Ladies-only sessions; Tournament participation (cash prizes, trophies)",Very likely,Ample parking availability; Surrounded by other F&B options; Near public transportation,Very interested - I would likely visit frequently,Pricing flexibility is attractive,Multiple times per week,Definitely yes,High-end gaming equipment,Prefer gaming at home,Strong community and events,Comfortable seating is a must
35-44,Male,Expat (Student),Dubai,Student,"5,000 - 10,000",High school or below,Prefer not to say,2,No,"Yes, occasionally (few times a month)",Tablet gaming; PlayStation (PS4/PS5),"Sports games (FIFA, NBA 2K, F1); Racing games (Gran Turismo, Forza); VR games",2-3 times per month,Less than 2 hours,At home,2-5 times,101-150,Organized teams/Clans,Escapism/Immersion; Achievement/Progression; Skill improvement,Moderately important,Once a month,"Gaming cafes/lounges; Regular cafes (Starbucks, Costa, local cafes); Bowling alleys/Entertainment centers",Weekends any time,3-4 hours,Very important,Mix of quick bites and proper meals,Margherita Pizza; Panna Cotta; Lasagna; Garlic Bread; Tiramisu; Gelato,Chow Mein; Szechuan dishes (Spicy); Fried Rice (Chicken/Beef/Vegetable/Shrimp); Dim Sum; Hot and Sour Soup; Spring Rolls; Manchurian (Chicken/Vegetable),"Energy drinks (Red Bull, Monster); Smoothies; Coffee (Hot/Iced)",Burgers/Sliders; Sandwiches/Wraps; Cookies/Brownies; Nachos with dips; Pretzels; Nuts/Trail mix,76-100 AED,Package deals (gaming hours + F&B combo),26-35 AED,30-45 AED,300-500 AED,50-100 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,"Clean and well-maintained environment; Tournament hosting and events; Comfortable seating and ergonomic setup; Variety of gaming platforms (PC, PS5, Xbox, Switch); Social atmosphere and community","Yes, occasionally for special occasions",Birthday party packages; Esports coaching/Training sessions,Very likely,Close to my home/workplace; Safe neighborhood; Ample parking availability,Moderately interested - I would try it out and visit occasionally,The multi-generational concept appeals to me,2-3 times per month,Probably yes,Combination of everything,Not enough variety in games; Location might not be convenient,Premium experience worth the price,Host regular tournaments
